Date,Open,Hight,Low,Close,Volume,Adj Close
1999/10/01,3250,3300,3200,3300,75000,3300
1999/10/04,3500,3500,3300,3300,31000,3300
1999/10/05,3290,3350,3160,3170,25000,3170
1999/10/06,3160,3200,3100,3200,58000,3200
1999/10/07,3180,3180,3130,3170,25000,3170
1999/10/08,3180,3180,3080,3100,25000,3100
1999/10/12,3100,3100,2950,2950,28000,2950
1999/10/13,2900,2900,2800,2850,55000,2850
1999/10/14,2800,2850,2800,2800,30000,2800
1999/10/15,2795,2800,2750,2750,39000,2750
1999/10/18,2720,2720,2470,2500,55000,2500
1999/10/19,2580,2600,2530,2600,24000,2600
1999/10/20,2615,2750,2615,2740,36000,2740
1999/10/21,2740,2740,2655,2700,64000,2700
1999/10/22,2685,2700,2685,2695,70000,2695
1999/10/25,2700,2700,2700,2700,11000,2700
1999/10/26,2700,2710,2690,2700,33000,2700
1999/10/27,2700,2700,2650,2660,15000,2660
1999/10/28,2660,2660,2650,2650,6000,2650
1999/10/29,2665,2665,2460,2610,41000,2610
1999/11/01,2615,2620,2450,2450,8000,2450
1999/11/02,2500,2500,2450,2450,5000,2450
1999/11/04,2500,2640,2500,2595,30000,2595
1999/11/05,2635,2700,2620,2630,46000,2630
1999/11/08,2700,2860,2700,2700,148000,2700
1999/11/09,2715,2915,2715,2915,91000,2915
1999/11/10,2900,3240,2900,3090,235000,3090
1999/11/11,3190,3280,2950,3190,160000,3190
1999/11/12,3130,3130,3000,3000,35000,3000
1999/11/15,3000,3000,2910,3000,44000,3000
1999/11/16,2985,2985,2810,2870,23000,2870
1999/11/17,2850,2850,2600,2850,25000,2850
1999/11/18,2795,2795,2755,2755,2000,2755
1999/11/19,2700,2890,2700,2875,68000,2875
1999/11/22,2800,2800,2650,2700,14000,2700
1999/11/24,2660,2660,2585,2600,49000,2600
1999/11/25,2520,2530,2255,2260,96000,2260
1999/11/26,2240,2250,2075,2230,71000,2230
1999/11/29,2230,2230,2200,2220,39000,2220
1999/11/30,2200,2200,2080,2120,32000,2120
1999/12/01,2095,2095,2015,2015,41000,2015
1999/12/02,1885,1885,1655,1710,80000,1710
1999/12/03,1690,2000,1680,1900,190000,1900
1999/12/06,1930,1939,1845,1899,83000,1899
1999/12/07,1899,1920,1890,1920,68000,1920
1999/12/08,1920,2220,1920,2220,156000,2220
1999/12/09,2420,2620,2420,2620,572000,2620
1999/12/13,3520,3520,3520,3520,196000,3520
1999/12/14,4020,4020,3650,4020,834000,4020
1999/12/15,4520,4520,4520,4520,206000,4520
1999/12/16,4770,5020,4650,5020,569000,5020
1999/12/17,6020,6020,4990,5330,819000,5330
1999/12/20,5500,5600,4620,5010,358000,5010
1999/12/21,4680,5200,4500,5200,273000,5200
1999/12/22,5250,5500,5100,5290,248000,5290
1999/12/24,5300,5400,4900,4900,112000,4900
1999/12/27,4800,4800,4600,4600,81000,4600
1999/12/28,4600,4800,4460,4790,65000,4790
1999/12/29,4860,4860,4600,4700,54000,4700
1999/12/30,4650,4700,4600,4600,29000,4600
2000/01/04,4700,4760,4600,4700,20000,4700
2000/01/05,4400,4450,4200,4300,60000,4300
2000/01/06,4310,4310,3950,4000,43000,4000
2000/01/07,3500,3750,3500,3730,91000,3730
2000/01/11,3910,4050,3820,3900,95000,3900
2000/01/12,3900,4000,3700,4000,73000,4000
2000/01/13,3900,3900,3710,3810,16000,3810
2000/01/14,3900,3990,3700,3850,49000,3850
2000/01/17,3830,3830,3700,3830,51000,3830
2000/01/18,3800,3800,3710,3770,17000,3770
2000/01/19,3770,3770,3270,3500,48000,3500
2000/01/20,3550,3750,3550,3750,31000,3750
2000/01/21,3750,3750,3650,3700,23000,3700
2000/01/24,3730,3730,3670,3700,121000,3700
